Year,Event,Full_Text,Sentiment_Score,Category
2017,"^Cornwell, Susan; Becker, Amanda (March 23, 2017).""Trump demands support in do-or-die Friday vote on healthcare plan"".Reuters.Archivedfrom the original on March 24, 2017. RetrievedMarch 24,2017....","^Cornwell, Susan; Becker, Amanda (March 23, 2017).""Trump demands support in do-or-die Friday vote on healthcare plan"".Reuters.Archivedfrom the original on March 24, 2017. RetrievedMarch 24,2017.",0.375,Positive
2017,"^Tubb, Gerard (March 24, 2017).""Donald Trump fails to seal deal on Obamacare replacement"".Sky News.Archivedfrom the original on March 24, 2017. RetrievedMarch 24,2017....","^Tubb, Gerard (March 24, 2017).""Donald Trump fails to seal deal on Obamacare replacement"".Sky News.Archivedfrom the original on March 24, 2017. RetrievedMarch 24,2017.",-0.0625,Negative
2017,"^""Readout Of Secretary Kelly's Meeting With President Of Honduras Juan Orlando Hernandez"".US Department of Homeland Security. March 22, 2017. Archived fromthe originalon April 16, 2017....","^""Readout Of Secretary Kelly's Meeting With President Of Honduras Juan Orlando Hernandez"".US Department of Homeland Security. March 22, 2017. Archived fromthe originalon April 16, 2017.",0.0,Neutral
2017,"^Schwartz, Felicia (March 22, 2017).""Coalition Meets in U.S. to Assess Islamic State Strategy"".The Wall Street Journal.Archivedfrom the original on March 22, 2017. RetrievedMarch 22,2017....","^Schwartz, Felicia (March 22, 2017).""Coalition Meets in U.S. to Assess Islamic State Strategy"".The Wall Street Journal.Archivedfrom the original on March 22, 2017. RetrievedMarch 22,2017.",0.375,Positive
2017,"^""Donald Trump offers Theresa May full US cooperation and support: world reaction to Westminster terror attack"".The Daily Telegraph. March 22, 2017.Archivedfrom the original on March 23, 2017. Retriev...","^""Donald Trump offers Theresa May full US cooperation and support: world reaction to Westminster terror attack"".The Daily Telegraph. March 22, 2017.Archivedfrom the original on March 23, 2017. RetrievedMarch 22,2017.",0.20625,Positive
2017,"^Cohen, Zachary; Koran, Laura (March 22, 2017).""Trump, US lawmakers react to UK attack"".CNN.Archivedfrom the original on March 22, 2017. RetrievedMarch 22,2017....","^Cohen, Zachary; Koran, Laura (March 22, 2017).""Trump, US lawmakers react to UK attack"".CNN.Archivedfrom the original on March 22, 2017. RetrievedMarch 22,2017.",0.375,Positive
2017,"^""US Labor Department announces delay in beryllium rule effective date"".US Department of Labor. March 21, 2017.Archivedfrom the original on April 16, 2017....","^""US Labor Department announces delay in beryllium rule effective date"".US Department of Labor. March 21, 2017.Archivedfrom the original on April 16, 2017.",0.4875,Positive
2017,"^""President Donald J. Trump Proclaims March 21, 2017, as National Agriculture Day"".whitehouse.gov.Washington, D.C.March 21, 2017.Archivedfrom the original on March 23, 2025. RetrievedMarch 24,2017– vi...","^""President Donald J. Trump Proclaims March 21, 2017, as National Agriculture Day"".whitehouse.gov.Washington, D.C.March 21, 2017.Archivedfrom the original on March 23, 2025. RetrievedMarch 24,2017– viaNational Archives.",0.375,Positive
2017,"^abPhillips, Amber (March 28, 2017).""The Devin Nunes wiretapping saga, explained"".The Washington Post.Archivedfrom the original on April 5, 2017. RetrievedApril 4,2017....","^abPhillips, Amber (March 28, 2017).""The Devin Nunes wiretapping saga, explained"".The Washington Post.Archivedfrom the original on April 5, 2017. RetrievedApril 4,2017.",0.375,Positive
2017,"^""Trump signs bill authorizing NASA funding, Mars exploration"".ABC News.ABC. March 21, 2017. Archived fromthe originalon March 21, 2017. RetrievedMarch 21,2017....","^""Trump signs bill authorizing NASA funding, Mars exploration"".ABC News.ABC. March 21, 2017. Archived fromthe originalon March 21, 2017. RetrievedMarch 21,2017.",0.0,Neutral
2017,"^""S.442—National Aeronautics and Space Administration Transition Authorization Act of 2017"".congress.gov. February 17, 2017.Archivedfrom the original on March 21, 2017....","^""S.442—National Aeronautics and Space Administration Transition Authorization Act of 2017"".congress.gov. February 17, 2017.Archivedfrom the original on March 21, 2017.",0.375,Positive
2017,"^""H. Rept. 114-840—National Defense Authorization Act for Fiscal Year 2017"".congress.gov. November 30, 2016.Archivedfrom the original on March 29, 2017....","^""H. Rept. 114-840—National Defense Authorization Act for Fiscal Year 2017"".congress.gov. November 30, 2016.Archivedfrom the original on March 29, 2017.",0.375,Positive
2017,"^""Presidential Memorandum on the Delegation of Authority Under the National Defense Authorization Act for Fiscal Year 2017"".whitehouse.gov. March 20, 2017.Archivedfrom the original on March 28, 2025 –...","^""Presidential Memorandum on the Delegation of Authority Under the National Defense Authorization Act for Fiscal Year 2017"".whitehouse.gov. March 20, 2017.Archivedfrom the original on March 28, 2025 – viaNational Archives.",0.375,Positive
2017,"^""5 things to watch at Neil Gorsuch's confirmation hearing"".CNN. March 20, 2017.Archivedfrom the original on March 26, 2017....","^""5 things to watch at Neil Gorsuch's confirmation hearing"".CNN. March 20, 2017.Archivedfrom the original on March 26, 2017.",0.375,Positive
2017,"^""President Donald J. Trump Announces Intent to Nominate Judge Amul R. Thapar for the U.S. Court of Appeals for the Sixth Circuit"".White House. March 21, 2017. Archived fromthe originalon May 1, 2017....","^""President Donald J. Trump Announces Intent to Nominate Judge Amul R. Thapar for the U.S. Court of Appeals for the Sixth Circuit"".White House. March 21, 2017. Archived fromthe originalon May 1, 2017. RetrievedMarch 22,2017.",0.0,Neutral
2017,"^""President Trump Rally in Louisville, Kentucky"".C-SPAN. March 20, 2017.Archivedfrom the original on September 27, 2025. RetrievedNovember 23,2025....","^""President Trump Rally in Louisville, Kentucky"".C-SPAN. March 20, 2017.Archivedfrom the original on September 27, 2025. RetrievedNovember 23,2025.",0.375,Positive
2017,"^""Remarks by President Trump in a Bilateral Meeting with Prime Minister al-Abadi of Iraq"".White House. March 20, 2017. Archived fromthe originalon March 20, 2017. RetrievedMarch 21,2017....","^""Remarks by President Trump in a Bilateral Meeting with Prime Minister al-Abadi of Iraq"".White House. March 20, 2017. Archived fromthe originalon March 20, 2017. RetrievedMarch 21,2017.",0.0,Neutral
2017,"^""Trump Meets Bill Gates After President Seeks Cuts in Foreign Aid"".Bloomberg News. March 20, 2017.Archivedfrom the original on March 21, 2017. RetrievedMarch 20,2017....","^""Trump Meets Bill Gates After President Seeks Cuts in Foreign Aid"".Bloomberg News. March 20, 2017.Archivedfrom the original on March 21, 2017. RetrievedMarch 20,2017.",0.125,Positive
2017,"^Rosenberg, Matthew; Huetteman, Emmarie; Schmidt, Michael (March 20, 2017).""Comey Confirms F.B.I. Investigation of Russian Election Interference, Links to Trump Campaign"".The New York Times.Archivedfr...","^Rosenberg, Matthew; Huetteman, Emmarie; Schmidt, Michael (March 20, 2017).""Comey Confirms F.B.I. Investigation of Russian Election Interference, Links to Trump Campaign"".The New York Times.Archivedfrom the original on March 20, 2017. RetrievedMarch 20,2017.",0.17045454545454544,Positive
2017,"^Sullivan, Eileen; Tucker, Eric (March 20, 2017).""FBI is investigating Russian links to Trump's team, director James Comey says"".Toronto Star.Archivedfrom the original on March 20, 2017. RetrievedMarc...","^Sullivan, Eileen; Tucker, Eric (March 20, 2017).""FBI is investigating Russian links to Trump's team, director James Comey says"".Toronto Star.Archivedfrom the original on March 20, 2017. RetrievedMarch 20,2017.",0.1875,Positive
2017,"^O'Hara, Mary Emily (March 20, 2017).""Trump and Rep. Schiff Battle on Twitter Over Russia and Wiretaps"".NBC News.NBC.Archivedfrom the original on March 20, 2017. RetrievedMarch 20,2017....","^O'Hara, Mary Emily (March 20, 2017).""Trump and Rep. Schiff Battle on Twitter Over Russia and Wiretaps"".NBC News.NBC.Archivedfrom the original on March 20, 2017. RetrievedMarch 20,2017.",0.375,Positive
2017,"^""Message to the Congress Regarding the Continuation of the National Emergency with Respect to South Sudan"".whitehouse.gov. March 23, 2017.Archivedfrom the original on March 27, 2025 – viaNational Arc...","^""Message to the Congress Regarding the Continuation of the National Emergency with Respect to South Sudan"".whitehouse.gov. March 23, 2017.Archivedfrom the original on March 27, 2025 – viaNational Archives.",0.375,Positive
2017,"^""Presidential Notice Regarding the Continuation of the National Emergency with Respect to South Sudan"".whitehouse.gov.Washington, D.C.:White House. March 20, 2017. Archived fromthe originalon March 2...","^""Presidential Notice Regarding the Continuation of the National Emergency with Respect to South Sudan"".whitehouse.gov.Washington, D.C.:White House. March 20, 2017. Archived fromthe originalon March 24, 2017. RetrievedMarch 21,2017.",0.0,Neutral
2017,"^""Exclusive: U.S. embassies ordered to identify population groups for tougher visa screening"".Reuters.Archivedfrom the original on July 4, 2017....","^""Exclusive: U.S. embassies ordered to identify population groups for tougher visa screening"".Reuters.Archivedfrom the original on July 4, 2017.",0.375,Positive
2017,"^""Short of votes, Trump asks Ryan to pull Obamacare repeal"".Canadian Broadcasting Corporation. March 24, 2017.Archivedfrom the original on March 24, 2017. RetrievedMarch 24,2017....","^""Short of votes, Trump asks Ryan to pull Obamacare repeal"".Canadian Broadcasting Corporation. March 24, 2017.Archivedfrom the original on March 24, 2017. RetrievedMarch 24,2017.",0.1875,Positive
2017,"^""Donald Trump Claims U.S. Constitution Bars 'Apprentice' Star's Defamation Suit While in Office"".The Hollywood Reporter. March 28, 2017.Archivedfrom the original on July 10, 2025. RetrievedSeptember ...","^""Donald Trump Claims U.S. Constitution Bars 'Apprentice' Star's Defamation Suit While in Office"".The Hollywood Reporter. March 28, 2017.Archivedfrom the original on July 10, 2025. RetrievedSeptember 7,2020.",0.375,Positive
2017,"^Buncombe, Andrew (March 28, 2017).""White House says it has 'no problem' with Sally Yates testifying at Trump-Russia investigation"".The Independent.Archivedfrom the original on March 28, 2017. Retriev...","^Buncombe, Andrew (March 28, 2017).""White House says it has 'no problem' with Sally Yates testifying at Trump-Russia investigation"".The Independent.Archivedfrom the original on March 28, 2017. RetrievedMarch 28,2017.",0.1875,Positive
2017,"^""Trump's record of action against transgender people"".transequality.org. April 20, 2017.Archivedfrom the original on October 18, 2017. RetrievedOctober 17,2017....","^""Trump's record of action against transgender people"".transequality.org. April 20, 2017.Archivedfrom the original on October 18, 2017. RetrievedOctober 17,2017.",0.2375,Positive
2017,"^""Presidential Executive Order Establishing the President's Commission on Combating Drug Addiction and the Opioid Crisis"".White House. March 29, 2017. Archived fromthe originalon March 31, 2017....","^""Presidential Executive Order Establishing the President's Commission on Combating Drug Addiction and the Opioid Crisis"".White House. March 29, 2017. Archived fromthe originalon March 31, 2017.",0.0,Neutral
2017,"^""Donald Trump takes major step to wiping out Obama's climate-change record"".The Independent. March 28, 2017.Archivedfrom the original on March 30, 2017. RetrievedMarch 31,2017....","^""Donald Trump takes major step to wiping out Obama's climate-change record"".The Independent. March 28, 2017.Archivedfrom the original on March 30, 2017. RetrievedMarch 31,2017.",0.14583333333333334,Positive
2017,"^""Presidential Executive Order on Promoting Energy Independence and Economic Growth"".whitehouse.gov. March 28, 2017.Archivedfrom the original on October 5, 2025 – viaNational Archives....","^""Presidential Executive Order on Promoting Energy Independence and Economic Growth"".whitehouse.gov. March 28, 2017.Archivedfrom the original on October 5, 2025 – viaNational Archives.",0.2875,Positive
2017,"^""H.J.Res.58—Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to teacher preparation issues"".congre...","^""H.J.Res.58—Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to teacher preparation issues"".congress.gov. March 27, 2017.Archivedfrom the original on September 30, 2017.",0.375,Positive
2017,"^""H.J.Res.37—Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisitio...","^""H.J.Res.37—Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation"".congress.gov. March 27, 2017.Archivedfrom the original on September 30, 2017.",0.21250000000000002,Positive
2017,"^Merica, Dan (March 27, 2017).""Sessions: Trump administration ready to take back money given to sanctuary cities"".CNN.Archivedfrom the original on March 27, 2017. RetrievedMarch 27,2017....","^Merica, Dan (March 27, 2017).""Sessions: Trump administration ready to take back money given to sanctuary cities"".CNN.Archivedfrom the original on March 27, 2017. RetrievedMarch 27,2017.",0.19166666666666665,Positive
2017,"^Carrisimo, Justin (March 28, 2017).""Trump scraps Obama's anti-wage theft protections"".The Independent.Archivedfrom the original on March 28, 2017. RetrievedMarch 29,2017....","^Carrisimo, Justin (March 28, 2017).""Trump scraps Obama's anti-wage theft protections"".The Independent.Archivedfrom the original on March 28, 2017. RetrievedMarch 29,2017.",0.375,Positive
2017,"^Torbati, Yeganeh; Martina, Michael (March 19, 2017).""Tillerson ends China trip with warm words from President Xi"".Reuters.Archivedfrom the original on March 19, 2017. RetrievedMarch 19,2017....","^Torbati, Yeganeh; Martina, Michael (March 19, 2017).""Tillerson ends China trip with warm words from President Xi"".Reuters.Archivedfrom the original on March 19, 2017. RetrievedMarch 19,2017.",0.4875,Positive
2017,"^Slack, Donovan (March 27, 2017).""Trump taps Kushner to lead new White House Office of American Innovation"".USA Today.Archivedfrom the original on March 29, 2017. RetrievedMarch 29,2017....","^Slack, Donovan (March 27, 2017).""Trump taps Kushner to lead new White House Office of American Innovation"".USA Today.Archivedfrom the original on March 29, 2017. RetrievedMarch 29,2017.",0.1278409090909091,Positive
2017,"^Cortellessa, Eric (March 27, 2017).""Pence at AIPAC: Trump still seriously considering moving embassy to Jerusalem"".The Times of Israel.Archivedfrom the original on March 29, 2017. RetrievedMarch 29,2...","^Cortellessa, Eric (March 27, 2017).""Pence at AIPAC: Trump still seriously considering moving embassy to Jerusalem"".The Times of Israel.Archivedfrom the original on March 29, 2017. RetrievedMarch 29,2017.",0.020833333333333343,Neutral
2017,"^Reuters (March 26, 2017).""Fights erupt at pro-Donald Trump rally on California beach"".The Guardian.ISSN0261-3077.Archivedfrom the original on May 29, 2025. RetrievedDecember 10,2025.{{cite news}}:|la...","^Reuters (March 26, 2017).""Fights erupt at pro-Donald Trump rally on California beach"".The Guardian.ISSN0261-3077.Archivedfrom the original on May 29, 2025. RetrievedDecember 10,2025.{{cite news}}:|last=has generic name (help)",0.1875,Positive
2017,"^""US Labor Department announces proposed delay in effective date of MSHA examinations rule"".US Department of Labor. March 24, 2017.Archivedfrom the original on April 16, 2017....","^""US Labor Department announces proposed delay in effective date of MSHA examinations rule"".US Department of Labor. March 24, 2017.Archivedfrom the original on April 16, 2017.",0.4875,Positive
2017,"^Russon, Gabrielle (March 24, 2017).""Education Secretary Betsy Devos tours Valencia campus in Osceola"".Orlando Sentinel.Archivedfrom the original on March 24, 2017....","^Russon, Gabrielle (March 24, 2017).""Education Secretary Betsy Devos tours Valencia campus in Osceola"".Orlando Sentinel.Archivedfrom the original on March 24, 2017.",0.375,Positive
2017,"^""Public Schedule: March 24, 2017"".US Department of State. March 24, 2017. Archived fromthe originalon March 30, 2017....","^""Public Schedule: March 24, 2017"".US Department of State. March 24, 2017. Archived fromthe originalon March 30, 2017.",0.0,Neutral
2017,"^""Remarks by President Trump at Greek Independence Day Celebration"".whitehouse.gov. March 24, 2017.Archivedfrom the original on March 27, 2025 – viaNational Archives....","^""Remarks by President Trump at Greek Independence Day Celebration"".whitehouse.gov. March 24, 2017.Archivedfrom the original on March 27, 2025 – viaNational Archives.",0.1875,Positive
2017,"^""President Donald J. Trump Proclaims March 25, 2017, as Greek Independence Day: A National Day of Celebration of Greek and American Democracy"".whitehouse.gov.Washington, D.C.March 24, 2017.Archivedfr...","^""President Donald J. Trump Proclaims March 25, 2017, as Greek Independence Day: A National Day of Celebration of Greek and American Democracy"".whitehouse.gov.Washington, D.C.March 24, 2017.Archivedfrom the original on March 22, 2025. RetrievedMarch 24,2017– viaNational Archives.",0.09375,Positive
2017,"^""Remarks by President Trump in Listening Session on Opioids and Drug Abuse"".whitehouse.gov. March 29, 2017.Archivedfrom the original on July 11, 2025 – viaNational Archives....","^""Remarks by President Trump in Listening Session on Opioids and Drug Abuse"".whitehouse.gov. March 29, 2017.Archivedfrom the original on July 11, 2025 – viaNational Archives.",0.375,Positive
2017,"^""Presidential Notice Regarding the Continuation of the National Emergency with Respect to Significant Malicious Cyber-Enabled Activities"".whitehouse.gov.Washington, D.C.:White House. March 29, 2017. ...","^""Presidential Notice Regarding the Continuation of the National Emergency with Respect to Significant Malicious Cyber-Enabled Activities"".whitehouse.gov.Washington, D.C.:White House. March 29, 2017. Archived fromthe originalon March 30, 2017. RetrievedApril 1,2017.",0.375,Positive
2017,"^Jacobs, Ben (March 24, 2017).""Republican repeal of Obamacare fails as healthcare bill pulled from House vote"".The Guardian.Archivedfrom the original on March 24, 2017. RetrievedMarch 24,2017....","^Jacobs, Ben (March 24, 2017).""Republican repeal of Obamacare fails as healthcare bill pulled from House vote"".The Guardian.Archivedfrom the original on March 24, 2017. RetrievedMarch 24,2017.",-0.0625,Negative
2017,"^""Presidential Memorandum on The White House Office of American Innovation"".whitehouse.gov. March 27, 2017.Archivedfrom the original on May 14, 2025 – viaNational Archives....","^""Presidential Memorandum on The White House Office of American Innovation"".whitehouse.gov. March 27, 2017.Archivedfrom the original on May 14, 2025 – viaNational Archives.",0.125,Positive
2017,"^Rothwell, James (March 19, 2017).""'That's not how Nato works': Officials reject Donald Trump's claim that Germany owes western allies 'vast sums of money'"".The Daily Telegraph.Archivedfrom the origin...","^Rothwell, James (March 19, 2017).""'That's not how Nato works': Officials reject Donald Trump's claim that Germany owes western allies 'vast sums of money'"".The Daily Telegraph.Archivedfrom the original on March 19, 2017. RetrievedMarch 19,2017.",0.09375,Positive
2017,"^Greenwood, Max (March 18, 2017).""Trump admin rejects anti-protectionism language in G20 free trade statement"".The Hill.Archivedfrom the original on March 20, 2017. RetrievedApril 1,2017....","^Greenwood, Max (March 18, 2017).""Trump admin rejects anti-protectionism language in G20 free trade statement"".The Hill.Archivedfrom the original on March 20, 2017. RetrievedApril 1,2017.",0.3875,Positive
2017,"^""Tillerson pledges cooperation with China on 'dangerous' North Korea"".The Japan Times. March 18, 2017.Archivedfrom the original on March 19, 2017. RetrievedMarch 18,2017....","^""Tillerson pledges cooperation with China on 'dangerous' North Korea"".The Japan Times. March 18, 2017.Archivedfrom the original on March 19, 2017. RetrievedMarch 18,2017.",-0.11249999999999999,Negative
2017,"^""Remarks by President Trump at American Center for Mobility"".whitehouse.gov. March 15, 2017.Archivedfrom the original on March 27, 2025 – viaNational Archives....","^""Remarks by President Trump at American Center for Mobility"".whitehouse.gov. March 15, 2017.Archivedfrom the original on March 27, 2025 – viaNational Archives.",0.09166666666666667,Positive
2017,"^""Public Schedule: March 14, 2017"".US Department of State. March 14, 2017. Archived fromthe originalon March 25, 2017....","^""Public Schedule: March 14, 2017"".US Department of State. March 14, 2017. Archived fromthe originalon March 25, 2017.",0.0,Neutral
2017,"^""Secretary Price and CMS Administrator Verma Take First Joint Action: Affirm Partnership of HHS, CMS, and States to Improve Medicaid Program"".US Department of Health and Human Services. March 14, 201...","^""Secretary Price and CMS Administrator Verma Take First Joint Action: Affirm Partnership of HHS, CMS, and States to Improve Medicaid Program"".US Department of Health and Human Services. March 14, 2017. Archived fromthe originalon April 16, 2017.",0.11666666666666665,Positive
2017,"^Henderson, Barney (March 15, 2017).""Donald Trump wrote off more than $100 million in losses to cut taxes as 2005 returns leaked"".The Daily Telegraph.Archivedfrom the original on March 15, 2017. Retri...","^Henderson, Barney (March 15, 2017).""Donald Trump wrote off more than $100 million in losses to cut taxes as 2005 returns leaked"".The Daily Telegraph.Archivedfrom the original on March 15, 2017. RetrievedMarch 15,2017.",0.2916666666666667,Positive
2017,"^""1040 U.S. Individual Income Tax Return""(PDF).MSNBC. Archived fromthe original(PDF)on March 16, 2017....","^""1040 U.S. Individual Income Tax Return""(PDF).MSNBC. Archived fromthe original(PDF)on March 16, 2017.",0.0,Neutral
2017,"^Baker, Peter; Drucker, Jesse (March 14, 2017).""Trump Wrote Off $100 Million in Losses in 2005, Leaked Forms Show"".The New York Times.ISSN0362-4331.Archivedfrom the original on September 30, 2025. Ret...","^Baker, Peter; Drucker, Jesse (March 14, 2017).""Trump Wrote Off $100 Million in Losses in 2005, Leaked Forms Show"".The New York Times.ISSN0362-4331.Archivedfrom the original on September 30, 2025. RetrievedSeptember 7,2020.",0.2556818181818182,Positive
2017,"^Levin, Sam (March 14, 2017).""Trump tax return: MSNBC report sparks angry White House response—live"".The Guardian.ISSN0261-3077.Archivedfrom the original on March 15, 2017. RetrievedMarch 15,2017....","^Levin, Sam (March 14, 2017).""Trump tax return: MSNBC report sparks angry White House response—live"".The Guardian.ISSN0261-3077.Archivedfrom the original on March 15, 2017. RetrievedMarch 15,2017.",-0.041666666666666664,Neutral
2017,"^Taylor, Adam (March 14, 2017).""Which world leaders are richer than Donald Trump?"".The Washington Post.Archivedfrom the original on March 14, 2017. RetrievedMarch 14,2017....","^Taylor, Adam (March 14, 2017).""Which world leaders are richer than Donald Trump?"".The Washington Post.Archivedfrom the original on March 14, 2017. RetrievedMarch 14,2017.",0.375,Positive
2017,"^""Public Schedule: March 13, 2017"".US Department of State. March 13, 2017. Archived fromthe originalon March 30, 2017....","^""Public Schedule: March 13, 2017"".US Department of State. March 13, 2017. Archived fromthe originalon March 30, 2017.",0.0,Neutral
2017,45th(2017–2021) and47th(2025–present)president of the United States...,45th(2017–2021) and47th(2025–present)president of the United States,0.0,Neutral
2017,"^Jarrett, Laura (March 15, 2017).""Federal judge blocks new travel ban; Trump calls it 'judicial overreach'"".CNN.Archivedfrom the original on March 16, 2017. RetrievedMarch 16,2017....","^Jarrett, Laura (March 15, 2017).""Federal judge blocks new travel ban; Trump calls it 'judicial overreach'"".CNN.Archivedfrom the original on March 16, 2017. RetrievedMarch 16,2017.",0.2556818181818182,Positive
2017,"^Harris, Gordon Lubold and Shane (March 13, 2017).""Trump Broadens CIA Powers, Allows Deadly Drone Strikes"".The Wall Street Journal.ISSN0099-9660.Archivedfrom the original on August 6, 2025. RetrievedS...","^Harris, Gordon Lubold and Shane (March 13, 2017).""Trump Broadens CIA Powers, Allows Deadly Drone Strikes"".The Wall Street Journal.ISSN0099-9660.Archivedfrom the original on August 6, 2025. RetrievedSeptember 7,2020.",0.0875,Positive
2017,"^""Public Schedule: February 17, 2017"".US Department of State. February 17, 2017. Archived fromthe originalon March 25, 2017....","^""Public Schedule: February 17, 2017"".US Department of State. February 17, 2017. Archived fromthe originalon March 25, 2017.",0.0,Neutral
2017,"^""President Trump's first Cabinet meeting lights up social media"".CBS News. March 13, 2017.Archivedfrom the original on April 21, 2025....","^""President Trump's first Cabinet meeting lights up social media"".CBS News. March 13, 2017.Archivedfrom the original on April 21, 2025.",0.21944444444444444,Positive
2017,"^""Intelligence committee requests evidence for Trump's 'wire-tap' claim"".ABC News (Australia). March 12, 2017.Archivedfrom the original on September 6, 2025. RetrievedOctober 31,2025....","^""Intelligence committee requests evidence for Trump's 'wire-tap' claim"".ABC News (Australia). March 12, 2017.Archivedfrom the original on September 6, 2025. RetrievedOctober 31,2025.",0.375,Positive
2017,"^""Trump Praises Arrest Of 'Troubled Person' At White House"".CBS Texas. March 11, 2017.Archivedfrom the original on December 11, 2025. RetrievedNovember 22,2025....","^""Trump Praises Arrest Of 'Troubled Person' At White House"".CBS Texas. March 11, 2017.Archivedfrom the original on December 11, 2025. RetrievedNovember 22,2025.",-0.04375000000000001,Neutral
2017,"^""Statement by Secretary of Defense Jim Mattis on Purported Actions Detrimental to Good Order and Discipline"".US Department of Defense. March 10, 2017.Archivedfrom the original on September 8, 2025....","^""Statement by Secretary of Defense Jim Mattis on Purported Actions Detrimental to Good Order and Discipline"".US Department of Defense. March 10, 2017.Archivedfrom the original on September 8, 2025.",0.5375,Positive
2017,"^""Secretary of the Treasury Announces Senior Staff"".US Department of the Treasury. March 10, 2017. Archived fromthe originalon January 3, 2022....","^""Secretary of the Treasury Announces Senior Staff"".US Department of the Treasury. March 10, 2017. Archived fromthe originalon January 3, 2022.",0.0,Neutral
2017,"^""Secretary Price Committed to Greater Medicaid Flexibility for States"".US Department of Health and Human Services. March 10, 2017. Archived fromthe originalon March 12, 2017....","^""Secretary Price Committed to Greater Medicaid Flexibility for States"".US Department of Health and Human Services. March 10, 2017. Archived fromthe originalon March 12, 2017.",0.25,Positive
2017,"^""Public Schedule: March 10, 2017"".US Department of State. March 10, 2017. Archived fromthe originalon April 1, 2019....","^""Public Schedule: March 10, 2017"".US Department of State. March 10, 2017. Archived fromthe originalon April 1, 2019.",0.0,Neutral
2017,"^Borger, Gloria; Korade, Matt (March 12, 2017).""Trump associate plays down Twitter contact with Guccifer 2.0"".CNN.Archivedfrom the original on December 11, 2024. RetrievedMarch 12,2017....","^Borger, Gloria; Korade, Matt (March 12, 2017).""Trump associate plays down Twitter contact with Guccifer 2.0"".CNN.Archivedfrom the original on December 11, 2024. RetrievedMarch 12,2017.",0.10972222222222222,Positive
2017,"^Savage, Charlie; Haberman, Maggie (March 10, 2017).""Trump Abruptly Orders 46 Obama-Era Prosecutors to Resign"".The New York Times.Archivedfrom the original on September 29, 2025. RetrievedMarch 11,201...","^Savage, Charlie; Haberman, Maggie (March 10, 2017).""Trump Abruptly Orders 46 Obama-Era Prosecutors to Resign"".The New York Times.Archivedfrom the original on September 29, 2025. RetrievedMarch 11,2017.",0.12878787878787878,Positive
2017,"^""Presidential Executive Order on a Comprehensive Plan for Reorganizing the Executive Branch"".White House. March 13, 2017. Archived fromthe originalon March 17, 2017. RetrievedMarch 18,2017....","^""Presidential Executive Order on a Comprehensive Plan for Reorganizing the Executive Branch"".White House. March 13, 2017. Archived fromthe originalon March 17, 2017. RetrievedMarch 18,2017.",0.0,Neutral
2017,"^""Michael Flynn Was Paid to Represent Turkey's Interests During Trump Campaign (Published 2017)"".The New York Times. March 10, 2017.Archivedfrom the original on September 28, 2025. RetrievedNovember 2...","^""Michael Flynn Was Paid to Represent Turkey's Interests During Trump Campaign (Published 2017)"".The New York Times. March 10, 2017.Archivedfrom the original on September 28, 2025. RetrievedNovember 22,2025.",0.2556818181818182,Positive
2017,"^Gambino, Lauren; Borger, Julian (March 15, 2017).""House intelligence chiefs: we have seen no evidence for Trump's wiretap claim"".The Guardian.ISSN0261-3077.Archivedfrom the original on October 5, 202...","^Gambino, Lauren; Borger, Julian (March 15, 2017).""House intelligence chiefs: we have seen no evidence for Trump's wiretap claim"".The Guardian.ISSN0261-3077.Archivedfrom the original on October 5, 2025. RetrievedNovember 22,2025.",0.375,Positive
2017,"^""US Senate Roll Call Vote 89 Session 115"".US Senate. March 15, 2017.Archivedfrom the original on March 16, 2017. RetrievedMarch 15,2017....","^""US Senate Roll Call Vote 89 Session 115"".US Senate. March 15, 2017.Archivedfrom the original on March 16, 2017. RetrievedMarch 15,2017.",0.375,Positive
2017,"^""Trump habla con Temer y Bachelet de Venezuela"".Milenio(in Spanish).Archivedfrom the original on April 12, 2017. RetrievedApril 11,2017....","^""Trump habla con Temer y Bachelet de Venezuela"".Milenio(in Spanish).Archivedfrom the original on April 12, 2017. RetrievedApril 11,2017.",0.375,Positive
2017,"^""President Donald J. Trump Proclaims March 19 through March 25, 2017, as National Poison Prevention Week"".whitehouse.gov.Washington, D.C.March 17, 2017.Archivedfrom the original on May 20, 2025. Retr...","^""President Donald J. Trump Proclaims March 19 through March 25, 2017, as National Poison Prevention Week"".whitehouse.gov.Washington, D.C.March 17, 2017.Archivedfrom the original on May 20, 2025. RetrievedMarch 24,2017– viaNational Archives.",0.375,Positive
2017,"^""Readout of the Vice President's Meeting with President Luis Guillermo Solís of Costa Rica"".White House. March 17, 2017. Archived fromthe originalon March 18, 2017. RetrievedMarch 18,2017....","^""Readout of the Vice President's Meeting with President Luis Guillermo Solís of Costa Rica"".White House. March 17, 2017. Archived fromthe originalon March 18, 2017. RetrievedMarch 18,2017.",0.0,Neutral
